,ISIN,Tickers_YF,sector_T,Name,Ticker,Market,Currency,RICS,sector,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score,totalEsg,environmentScore,socialScore,governanceScore,TRBC Industry Group Name,TRBC Economic Sector Name
396,DE000A0HN5C6,0OBQ.IL,"Real Estate Rental, Development & Operations",DEUTSCHE WOHNEN AG,0OBQ,,,DWNG.DE,"Real Estate Rental, Development & Operations",86.1891464125885,86.6186892839094,77.3356809316582,83.4562219596067,12.24,3.07,3.98,5.19,Real Estate Operations,Real Estate
397,DE0007314007,0OC2.IL,Industrial Machinery & Equipment,HEIDELBERGER DRUCKMASCHINEN AG,0OC2,,,HDDG.DE,Industrial Machinery & Equipment,57.1468068988963,50.0312344547858,65.7566391413326,56.9418934603337,,,,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
398,SE0000117970,0OFP.IL,Construction & Engineering,NCC AB,0OFP,,,NCCb.ST,Construction & Engineering,79.3422804261527,59.9646921757546,72.2839146883964,70.4067690748367,,,,,Construction & Engineering,Industrials
399,ES0182870214,0OFU.IL,Construction & Engineering,SACYR SA,0OFU,,,SCYR.MC,Construction & Engineering,97.8971187915049,95.9408252293283,51.9830475064064,85.029922269832,,,,,Construction & Engineering,Industrials
400,ES0132105018,0OIQ.IL,Iron & Steel,ACERINOX SA,0OIQ,,,ACX.MC,Iron & Steel,90.3321043026713,75.6609033294142,45.1295091661738,73.3273684067908,,,,,Metals & Mining,Basic Materials
401,DK0061802139,0OIR.IL,Pharmaceuticals,ALK-ABELLO A/S,0OIR,,,ALKb.CO,Pharmaceuticals,73.2694710787493,83.4432839194699,61.5961422543701,74.3633720525282,,,,,Pharmaceuticals,Healthcare
402,DK0010234467,0OJA.IL,Mining Support Services & Equipment,FLSMIDTH & CO A/S,0OJA,,,FLS.CO,Mining Support Services & Equipment,57.9620887218531,59.3682876306643,52.6678722121759,57.2279409815494,,,,,Metals & Mining,Basic Materials
403,GRS496003005,0OJX.IL,Electric Utilities,TERNA ENERGY SA,0OJX,,,TENr.AT,Electric Utilities,54.1246866471541,60.1304943746241,73.0193548387096,60.8002412064708,,,,,Electric Utilities & IPPs,Utilities
404,DE0005168108,0OLG.IL,Mining Support Services & Equipment,BAUER AG,0OLG,,,B5AG.DE,Mining Support Services & Equipment,43.9191391254406,38.1314852939035,42.127703197962,41.1499490200523,,,,,Metals & Mining,Basic Materials
405,DE0005878003,0OP0.IL,Industrial Machinery & Equipment,DMG MORI AG,0OP0,,,GILG.DE,Industrial Machinery & Equipment,48.3308088170644,61.6392733920197,65.4474532658783,58.1754190076909,,,,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
406,DE000NWRK013,0OR4.IL,Online Services,NEW WORK SE,0OR4,,,NWOn.DE,Online Services,36.8979070216049,34.1638002720495,66.2245698205471,49.3786596119095,,,,,Software & IT Services,Technology
407,FR0000065260,0P00000I0I.F,Oil & Gas Transportation Services,DOCK.PETR.AMBES AM,DPAM,Euronext Paris,EUR,DPAP.PA,Construction & Engineering,,,,,21.25,4.79,9.47,6.99,Oil & Gas Related Equipment and Services,Energy
