Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;3.20;3.22;3.16;3.20;"06/04/2023 17:35";CET;4514;14459.66;-;-
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;41.20;41.80;41.20;41.55;"05/04/2023 13:05";CET;14077;582758.10;-;-
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;57.35;57.70;57.05;57.60;"06/04/2023 17:35";CET;136719;7859382.95;-;-
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;39.40;39.40;39.10;39.10;"05/04/2023 13:05";CET;2541;99813.60;-;-
ANHEUSER-BUSCH;BE0974293251;1ABI;BITGEM;EUR;61.06;61.06;61.06;61.06;"06/04/2023 15:40";CET;25;1526.50;-;-
ANHEUSER-BUSCH;BE0974293251;2ABI;"Euronext After Hours Milan";EUR;51.99;51.99;51.99;51.99;"21/11/2022 00:00";CET;5;259.95;-;-
"ANIMA HOLDING";IT0004998065;ANIM;"Euronext Milan";EUR;3.702;3.744;3.682;3.724;"06/04/2023 17:35";CET;513261;1904666.69;-;-
"ANS ROCOUR";BE0003243426;-;"Euronext Expert Market";EUR;89.30;89.30;89.30;89.30;"21/02/2017 11:30";CET;31;2768.30;-;-
"ANTARES VISION";IT0005366601;AV;"Euronext Milan";EUR;6.24;6.30;6.04;6.08;"06/04/2023 17:35";CET;24294;149773.61;-;-
"ANTIN INFRA PARTN";FR0014005AL0;ANTIN;"Euronext Paris";EUR;16.05;16.29;16.05;16.10;"06/04/2023 17:35";CET;42792;689959.20;-;-
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;31.29;31.60;30.80;31.07;"06/04/2023 17:35";CET;219976;6848356.29;-;-
"APODACA INVERSIONE";ES0105658001;MLASO;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"07/11/2022 00:00";CET;-;-;-;-
APPLE;US0378331005;1AAPL;BITGEM;EUR;150.54;150.54;147.42;150.24;"06/04/2023 17:35";CET;13129;1957358.30;-;-
APPLE;US0378331005;2AAPL;"Euronext After Hours Milan";EUR;149.52;149.52;148.64;149.52;"05/04/2023 20:28";CET;40;5963.20;-;-
"APTORUM GROUP CL A";KYG6096M1226;APM;"Euronext Paris";EUR;27.00;27.00;27.00;27.00;"15/01/2021 13:35";CET;42;1150.20;-;-
"AQUA BIO TECHNO";NO0010307135;ABTEC;"Euronext Expand Oslo";NOK;6.16;6.16;6.08;6.10;"05/04/2023 12:47";CET;1515;9240.80;-;-
AQUAFIL;IT0005241192;ECNL;"Euronext Milan";EUR;4.99;5.07;4.98;5.00;"06/04/2023 17:35";CET;15044;75272.93;-;-
AQUILA;FR0010340711;ALAQU;"Euronext Growth Paris";EUR;6.10;6.10;6.10;6.10;"05/04/2023 11:30";CET;81;494.10;-;-
"ARAMIS GROUP";FR0014003U94;ARAMI;"Euronext Paris";EUR;4.025;4.03;3.78;3.915;"06/04/2023 17:35";CET;84363;328426.27;-;-
ARCADIS;NL0006237562;ARCAD;"Euronext Amsterdam";EUR;37.46;37.50;36.26;36.98;"06/04/2023 17:35";CET;196012;7227185.54;-;-
"ARCELOR MITT LUX";LU0006047129;-;"Euronext Expert Market";EUR;101.00;101.00;93.00;93.00;"31/12/2002 00:00";CET;104;10112.00;-;-
"ARCELORMITT SCHIFF";LU0006067663;-;"Euronext Expert Market";EUR;1.11;1.11;1.11;1.11;"26/04/2022 11:30";CET;25;27.75;-;-
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;25.83;25.99;25.51;25.73;"06/04/2023 17:38";CET;1779975;45826197.48;-;-
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;1.02;1.02;0.98;0.982;"05/04/2023 13:05";CET;1286067;1274004.34;-;-
ARCHOS;FR0014007XT1;ALJXR;"Euronext Growth Paris";EUR;0.0406;0.0406;0.0371;0.0391;"06/04/2023 17:35";CET;1784714;68928.44;-;-
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;10.45;10.50;10.45;10.50;"05/04/2023 10:05";CET;600;6288.75;-;-
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;110.00;110.00;110.00;110.00;"05/04/2023 13:05";CET;2;220.00;-;-
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;40.70;41.40;40.20;40.40;"05/04/2023 13:05";CET;25237;1031035.70;-;-
ARCURE;FR0013398997;ALCUR;"Euronext Growth Paris";EUR;2.64;2.64;2.55;2.63;"06/04/2023 17:24";CET;7198;18719.88;-;-
"ARDOIN ST AMAND A";FR0005057635;MLARD;"Euronext Access Paris";EUR;172.00;172.00;172.00;172.00;"06/04/2023 11:30";CET;1;172.00;-;-
"ARDOIN ST AMAND B";FR0004070795;ARDO;"Euronext Access Paris";EUR;72.00;72.00;72.00;72.00;"03/08/2020 16:30";CET;2;144.00;-;-
"AREF THALASSA";ES0105661005;MLARE;"Euronext Access Paris";EUR;8.75;8.75;8.75;8.75;"17/11/2022 00:00";CET;-;-;-;-
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;225.00;225.00;212.00;217.00;"05/04/2023 13:05";CET;2209;478463.50;-;-
ARGAN;FR0010481960;ARG;"Euronext Paris";EUR;67.10;68.00;66.80;68.00;"06/04/2023 17:35";CET;4667;315584.70;-;-
"ARGENX SE";NL0010832176;ARGX;"Euronext Brussels";EUR;344.70;352.00;344.70;351.40;"06/04/2023 17:39";CET;31640;11072241.80;-;-
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;1.19;1.21;1.155;1.21;"05/04/2023 13:05";CET;192180;227820.48;-;-
"ARIMELIA ITG";ES0105601001;MLARI;"Euronext Access Paris";EUR;2.97;2.97;2.97;2.97;"17/09/2021 00:00";CET;-;-;-;-
"ARISTON HOLDING";NL0015000N33;ARIS;"Euronext Milan";EUR;10.20;10.20;9.94;9.945;"06/04/2023 17:35";CET;113297;1136355.77;-;-
ARKEMA;FR0010313833;AKE;"Euronext Paris";EUR;88.56;89.18;87.32;87.46;"06/04/2023 17:35";CET;180395;15817791.90;-;-
"ARKIMEDES FONDS";BE0945331669;-;"Euronext Expert Market";EUR;2.66;2.66;2.66;2.66;"28/03/2023 11:30";CET;20;53.20;-;-
ARMA;BE0051300847;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-;-;-
"AROCA DEL PINAR";ES0105486007;MLARO;"Euronext Access Paris";EUR;14.60;14.60;14.60;14.60;"16/08/2020 00:00";CET;-;-;-;-
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;3.11;3.30;3.11;3.28;"05/04/2023 13:05";CET;7807;24334.88;-;-
ARTEA;FR0012185536;ARTE;"Euronext Paris";EUR;22.40;22.40;22.40;22.40;"06/04/2023 14:36";CET;6;134.40;-;-
